Bençãos que não tem Fim - Além da Emoção - EP2
Time	Subtitle
7:29	implica reconhecer a transitoriedade do sofrimento, mas também a presença
7:35	inevitável dele. >> A gente vai sofrer.
7:37	>> É, não dá para fugir. >> E a fidelidade de Deus é exatamente o
7:41	que nos sustenta durante essa travessia pelo vale da sombra da morte.
7:45	>> Ele tá no controle da fase ruim também. Exato. A providência não nos isenta do
7:50	vale, ela nos guia através dele. E chamar Deus [música] de pai na canção
7:55	reforça muito bem essa relação de cuidado contínuo e soberano.
7:59	>> Certo? Bom, até aqui a estrutura da música me parece bastante sólida em
8:04	apontar essas verdades. Nós somos fracos. Deus é soberano e bom. [música]
8:09	E as fases ruins passam. Até aí perfeito.
8:12	>> Mas quando eu tava relendo as minhas anotações pro programa de hoje, uma
8:17	ficha gigantesca caiu e vou ser sincero, me deixou até meio desconfortável, viu?
8:23	Eu queria propor um experimento mental aqui.
8:25	>> Manda ver. Vamos imaginar que a gente pegue essa letra do jeito que ela tá
8:30	escrita, sem mudar uma vírgula, e a gente entrega esse papel na mão de
8:33	alguém de uma religião oriental ou alguém de uma espiritualidade tipo
8:39	genérica focada no universo, >> certo?
8:42	>> Essa pessoa precisaria alterar alguma palavra para cantar isso no próprio
8:45	contexto religioso dela? >> Essa é a métrica que revela o problema
8:50	de forma mais nítida. A resposta é um não bem redondo.
8:55	>> Não precisaria mudar nada, né? >> A pessoa não precisaria alterar
8:59	absolutamente nenhuma sílaba. Qualquer indivíduo grato a uma entidade superior
9:04	qualquer pode cantar isso com tranquilidade. E absolutamente ninguém
9:09	lá dentro iria achar estranho. O que esse experimento mostra é a maior
9:14	ausência dessa música, a ausência da obra de Cristo.
9:17	>> Não tem menção à cruz, né? >> Nenhuma. Não fala de cruz, não fala da
9:22	graça que salva, não menciona sangue derramado nem ressurreição.
9:26	>> O que você acabou de identificar aí é a completa ausência de exclusividade
9:31	cristã na letra. >> Mas esa aí, só para fazer o papel de
9:34	advogado do diabo aqui ou de alguém que tá em casa nos ouvindo e pensando,
9:39	gente, mas é só uma música de gratidão? Sim, muita gente deve pensar isso.
9:43	>> Pois é, toda música que a gente canta na igreja precisa obrigatoriamente ser uma
9:48	tese teológica sistemática sobre a redenção. Não dá simplesmente para
9:52	agradecer pelo prato de comida e pela saúde, sem ter que citar a Bíblia
9:56	inteira de Gênesis a Apocalipse. >> Ninguém exige que uma canção de 3 4
10:01	minutos seja uma dissertação de mestrado em teologia,
10:05	>> até porque seria muito chato de cantar. Exatamente. A simplicidade é uma virtude
10:10	na arte. A gente tem vários salmas que falam só de colheita, do sol, da chuva.
10:17	Não seria exigir demais de uma música pop?
10:20	>> Esse é um ótimo contraponto, de verdade. Mas tem um detalhe sobre os salmos que
10:25	falam de chuva e colheita. >> Qual? Eles sempre ancoram essa bondade
10:31	na aliança. Eles lembram da fidelidade do Deus que tirou eles do Egito. O
10:37	problema dessa ausência de Cristo na música não é que ela seja simples, é que
10:42	ela é uma gratidão vertical que não tem identidade cristã.
10:46	>> Ah, entendi. Fica genérico, >> muito genérico. E na liturgia, o que uma
10:52	geração apenas pressupõe sem falar, a próxima geração simplesmente esquece.
10:57	Isso faz muito sentido. Então, se não tem o evangelho de forma objetiva na
11:02	letra, a música vira um espelho, certo? O significado final dela fica morando na
11:08	cabeça de quem tá cantando e não no texto.
11:10	>> Brilhante. É bem por aí. Se alguém com uma teologia muito madura canta isso, a
11:16	pessoa naturalmente preenche essa lacuna apontando pra cruz, sabe?
11:19	>> Ela pensa tipo: "A maior bênção da minha vida é o perdão dos meus pecados".
11:23	Exato. Ela ancora a emoção no lugar certo, mas o texto não pede isso. Então,
11:29	se alguém tem uma visão mais superficial de Deus, a música vai servir só para
11:33	validar desejos materiais. >> O problema aqui não é que a música seja
11:36	simples. O problema é que o próprio núcleo da fé cristã não tá lá.
11:42	>> Fica faltando a assinatura principal, né?
11:44	>> Fica. Eu gosto de pensar nessa canção como uma ponte pênsil. Imagina uma ponte
11:50	com um design arquitetônico lindíssimo. >> Certo, tô imaginando
11:54	>> a melodia e emoção envolvida que pega todo mundo, essa vulnerabilidade da
11:59	letra, tudo isso forma a pista por onde os carros passam e é uma via linda.
12:05	>> Aham. >> Mas a cruz, a obra expiatória de Cristo,
12:09	o sacrifício, esses são os cabos de aço que deveriam sustentar a estrutura
12:13	inteira. No momento, o que a gente tem é uma ponte com uma pista deslumbrante,
12:18	mas sem os cabos de sustentação. >> Caramba. E o perigo de uma ponte sem
12:23	cabos de aço é que ela funciona super bem num dia de sol, né? Quando você tá
12:27	lá passeando sem pressa, vidros abertos, ouvindo a música. Mas no exato momento
12:32	em que bate um furacão de verdade na vida, ela despenca.
12:37	>> A canção sofre do que os teólogos chamam de falta de densidade cristológica.
12:43	Sem a centralidade de Jesus, o que sobra é o louvor a uma divindade soberana,
12:49	sim, porém genérica. >> E aí a pessoa na igreja canta achando
12:53	que é cristã, >> porque ela é quem tá inserindo. Para
12:56	quem tá cantando no culto, a música só se torna cristã, porque a mente de quem
13:00	canta insere Cristo ali de forma imaginária nas entrelinhas, mas a obra,
13:05	a letra por si só, não faz esse trabalho. Isso nos leva à parte prática
13:10	da coisa. O que tudo isso significa no chão de fábrica do dia a dia da igreja?
13:15	Eu vejo essa letra muito vaga como uma espécie de cheque branco emocional.
13:20	>> Um cheque branco. Gostei dessa definição.
13:22	>> Porque ela fala de bênçãos, de detalhes da bondade, mas ela não define o que são
13:30	essas bênçãos. E a natureza humana é super previsível, né? Se a gente vê um
13:36	espaço em branco, o nosso ego vai lá e preenche com o que a gente mais quer na
13:41	hora. >> E se a gente conectar isso com o cenário
13:43	maior das igrejas de hoje, e o perigo fica bem claro. [música] É um terreno
13:48	muito fértil pra teologia da prosperidade sequestrar a mensagem,
13:52	>> porque a pessoa preenche a palavra bênção com, sei lá, um carro zero, né?
13:56	>> Exatamente. Isso. É importante ser justo. Claro. A letra não afirma a
14:00	teologia da prosperidade em nenhum momento. Ela não faz isso.
14:03	>> Aham. Mas por ser tão indefinida, ela também não impede essa leitura. Se a
14:09	letra me diz para contar as incontáveis bênçãos, mas ela se recusa a definir
14:14	qual é a bênção suprema e definitiva que nós biblicamente sabemos que é a
14:19	salvação eterna. >> Uhum.
14:21	>> Quem é que vai preencher esse espaço em branco na letra? É a nossa própria
14:25	mente. A melodia te entrega basicamente um cheque branco emocional [música] e
14:31	você assina com o que quiser. Cheque branco emocional. Essa metáfora explica
14:35	[música] perfeitamente a armadilha, porque a
14:38	nossa natureza caída, ela detesta ambiguidade, ela detesta o sofrimento.
14:44	>> A gente quer conforto, né? >> Lógico, nós somos biologicamente e
14:47	psicologicamente programados para buscar recompensas imediatas e tangíveis. Nós
14:52	queremos provas concretas de que estamos no controle ou de que Deus tá nos
14:56	favorecendo agora nessa vida. >> Então, raciocina comigo. Se a canção não
15:00	tem o cuidado teológico de escrever graça e salvação lá no valor principal
15:05	desse cheque em branco, a pessoa que, sei lá, cresceu num ambiente muito
15:10	influenciado pela teologia da prosperidade,
15:12	>> ela vai preencher com outra coisa. >> Exato. Ela vai lá e preenche esse cheque
15:16	com carro novo, promoção no emprego e ausência total de doenças. E ela canta
15:21	chorando, se arrepiando toda, achando que tá adorando a Deus, quando na
15:25	verdade ela tá adorando os próprios benefícios materiais que ela espera
15:28	receber. >> É uma naturalização muito perigosa e eu
15:31	acho que a gente precisa ser muito justo aqui. A música em si não prega a
15:37	teologia da prosperidade declaradamente. >> Não, ela não tem heresias óbbias.
15:41	>> Isso. Mas o silêncio dela abre escancaradamente a porta para que o
15:46	triunfalismo tome conta da interpretação de quem ouve. Espera, vamos pausar
15:50	rapidinho aqui para quem tá nos ouvindo e talvez não tenha familiaridade com os
15:54	debates teológicos acadêmicos. O que exatamente é esse triunfalismo no
15:59	contexto prático de uma congregação? >> Ótima pergunta. É essencial definir
16:04	isso. O triunfalismo é a ideia tóxica de que o cristão autêntico tá sempre
16:09	vencendo, >> sempre no topo, né? sempre no topo da
16:12	montanha, sempre próspero e blindado contra o sofrimento. É aquela teologia
16:17	que diz: "Olha, se você tá sofrendo é porque tá em pecado ou falta fé". O que
16:22	nos leva a um teste de estress que eu considero essencial para qualquer música
16:27	congregacional, o teste do cristão sofredor.
16:30	>> Esse teste muda a perspectiva de tudo. >> Como é que essa mentalidade do cheque em
16:35	branco se comporta diante da realidade dura de um cristão cuja vida não tem
16:39	absolutamente nada de vitórias visíveis? Pense num crente que está sofrendo de
16:44	verdade. Um sofrimento profundo. >> Tipo um cristão num país onde o
16:48	evangelho é proibido, sofrendo perseguição severa que acabou de ter a
16:52	casa confiscada ou até alguém aqui do nosso lado lidando com um diagnóstico de
16:56	câncer terminal. >> Exato. Como fica essa pessoa? Qual é o
17:00	efeito teológico dessa música na mente dela? Porque a lógica estrutural da
17:05	letra pressupõe alguém que olha pro retrovisor da vida, pro passado, e
17:10	consegue enxergar vitórias concretas e superações materiais.
17:14	>> Aquele raciocínio de eu temi, mas a fase ruim passou, a bênção chegou e hoje eu
17:20	conto as vitórias. >> Isso. Mas e quando os detalhes do seu
17:25	cotidiano não tem nada de superação ainda? E se são apenas dor crônica, luto
17:31	profundo, perseguição ou escassez absoluta? Nossa,
17:35	>> se a sua compreensão da palavra bênção foi moldada por essa gratidão
17:40	experiencial e puramente materialista que o louvor genérico incentiva, no
17:45	primeiro revés definitivo que não for curado ou resolvido nesta vida terrena,
17:50	a sua fé entra em colapso. >> A ponte cai, vira o problema de cabeça
17:54	para baixo. Porque se a pessoa é ensinada domingo após domingo, que
17:58	louvar a Deus é a contar os confortos visíveis,
18:01	>> o que acontece quando os confortos somem? No dia em que esses confortos
18:05	desaparecerem, a única conclusão lógica que sobra para essa mente é: "Deus me
18:10	abandonou. Ele deixou de ser bom."
18:16	O teste do sofredor é o filtro definitivo para a teologia. A lógica
18:21	interna de bênçãos que não têm fim pressupõe uma vida de demonstrações
18:25	muito concretas, abundantes e mensuráveis de favor divino.
18:30	>> Exige um cenário favorável. >> Sim. E se atrelarmos a nossa gratidão a
18:35	esses benefícios temporais, nós criamos uma fé extremamente vulnerável.
18:40	>> Quebra na primeira crise. >> Quebra. Pensemos nos cristãos relatados
18:44	em Hebreus capítulo 11, a galeria dos heróis da fé, que foram cerrados ao
18:48	meio, que viveram em cavernas e morreram sem receber as promessas materiais.
18:54	>> É chocante ler Hebreus 11. Se a adoração dependesse de contar vitórias
18:59	cotidianas, a fé deles teria colapsado. >> É um banho de água fria no triunfalismo
19:04	moderno. O texto lista os heróis que conquistaram reinos, que fecharam bocas
19:08	de leões, que escaparam [música] da espada. Sim, isso aconteceu. Mas na
19:13	mesmíssima respiração, o autor cita cristãos que foram apedrejados, cerrados
19:17	ao meio e que andaram errantes, vestidos de peles de ovelhas necessitados e
19:22	aflitos. >> Gente que perdeu tudo nesta vida. tudo.
19:26	E o verso 39, ele diz que todos estes morreram sem ter obtido a promessa
19:31	terrena. >> Quer dizer, eles não tinham bênçãos
19:34	visíveis para contar, pelo menos do ponto de vista do conforto material que
19:37	a gente valoriza tanto hoje. >> É por isso que a gente precisa com
19:41	urgência voltar os nossos olhos pra história da igreja e pras escrituras.
19:47	>> A adoração cristã robusta, aquela que sobreviveu a milênios, nunca se baseou
19:52	na quantidade de coisas boas temporais. Tivemos crentes históricos que passaram
19:57	a vida num morra, né? [música] >> Muitos. E se a fonte do conforto
20:01	material seca, o louvor tem que parar? Claro que não. O louvor que resiste à
20:07	tragédia é fundamentado no caráter de Deus e na cruz. Ele é digno por quem ele
20:13	é. >> Analisar os hinos clássicos dos séculos
20:15	passados, os inários mais antigos, muitos foram inscritos durante
20:19	epidemias, guerras brutais e tragédias pessoais inomináveis. Tem aquele exemplo
20:24	clássico, né, do hino Sou Feliz com Jesus,
20:26	>> escrito pelo Acious Pafford. >> Ele escreveu enquanto o navio dele
20:30	passava exatamente sobre o local onde as quatro filhas dele tinham acabado de
20:33	morrer afogadas no naufrágio semanas antes.
20:36	>> Sim, imagina a dor desse pai. A ancoragem daqueles cristãos não estava
20:40	nos detalhes bons que eles estavam experimentando no momento, porque o
20:44	momento era literalmente o inferno na terra. A âncora verdadeira deles era o
20:48	caráter imutável de Deus e a suficiência do sangue vertido na cruz. Isso revela
20:53	um contraste gigantesco com a música que a gente tá analisando hoje. E olha, tem
20:59	uma frase no refrão que a luz de tudo isso que a gente tá conversando, ganha
21:03	um peso bem diferente. A música repete incansavelmente: "Sempre irei me
21:08	lembrar. Enquanto eu viver, suas bênçãos eu irei contar".
21:12	>> Focando muito na própria ação. [música] >> Muito. Obviamente a Bíblia nos manda
21:16	lembrar dos feitos de Deus. Claro, os salmos estão cheios de memoriais pra
21:21	gente não esquecer o que Deus fez, mas na forma como a letra é construída,
21:25	parece que o holofote sai do palco onde Deus atua e vira pra plateia, vira pro
21:32	próprio interior de quem canta. Eu vou lembrar, eu vou contar. É, essa é talvez
21:37	a característica mais marcante, problemática do louvor contemporâneo em
21:42	geral, o excesso de introspecção. A espiritualidade moderna tende a focar
21:47	excessivamente no umbigo do adorador. >> Tira o foco de Cristo e bota na nossa
21:52	experiência, né? Exatamente. O centro de gravidade da música deixa de
21:58	ser a glória majestosa de Deus em si mesma e passa a ser a minha capacidade
22:03	emocional de lembrar e de ser grato pelo que ele fez por mim. Quando a devoção
22:08	vira um exercício de medir o próprio pulso emocional, tipo, olha como eu sou
22:12	grato hoje, olha como eu lembro dos detalhes, a gente transforma a fé cristã
22:17	em mera gestão de sentimentos. >> [música]
22:19	>> O foco do louvor deveria estar sempre cravado na cruz, que é um evento
22:24	objetivo e histórico, e não na minha lembrança, que é completamente subjetiva
22:29	e falha. >> Bom, nós dsecamos os acertos
22:33	maravilhosos da vulnerabilidade lírica dessa música. Mergulhamos na
22:38	profundidade da providência que de fato ela tenta transmitir e claro [música]
22:43	expusemos essa falta estrutural dos cabos de aço fundamentais que é a
22:49	ausência da cruz. >> Fizemos o raio X completo.
22:52	>> Fizemos. Mas e aí? Diante de tudo isso, o que a gente faz na prática? Porque
22:57	muitas congregações ao redor do país inteiro vão cantar essa música no culto
23:01	do próximo domingo. É inevitável. Qual é o veredito? Nós não estamos
23:07	lidando com um material nocivo, sabe? Ou com uma heresia declarada contra o
23:13	caráter de Deus. Portanto, não há necessidade nenhuma de censura nas
23:17	igrejas. >> Ufa, ainda bem.
23:19	>> Avaliando com base naquilo que as escrituras exigem do louvor
23:23	congregacional, eu daria essa canção uma nota 7 de 10.
23:28	>> 7 de 10. Ela acerta muito ao colocar Deus no volante da história e o ser
23:34	humano numa postura de dependência e pequenez. É um sete porque a fragilidade
23:40	cristológica que a gente discutiu impede que ela alcance a excelência teológica.
23:45	Falta a proteção necessária contra aquelas interpretações equivocadas,
23:49	triunfalistas. >> Então, ela precisa de concertos.
23:53	>> O objetivo aqui não é o descarte da música, mas sim a redenção da obra.
23:58	Gosto dessa palavra redenção, pensando de forma muito prática para quem lidera
24:03	louvor e tá nos ouvindo. Para mim, a solução parece até meio simples.
24:07	Bastaria que a banda, ao tocar essa música na igreja, não ficasse apenas
24:10	repetindo aquele refrão a de infinito, um, né?
24:13	>> Ah, sim. Que é bem comum, >> muito comum. Em vez disso, eles poderiam
24:18	adicionar uma ponte, uma estrofe extra cantada ali no meio que não tá na
24:23	gravação original. >> E que tipo de adição você sugere para
24:26	essa ponte? Ah, eu penso em algo que pegasse toda essa gratidão legítima
24:31	pelas contas pagas, sabe? Pela cura médica, pelo emprego que finalmente
24:35	chegou. Porque, claro, coisas boas acontecem e nós devemos agradecer por
24:40	elas. >> Sem dúvida.
24:41	>> Mas a ponte amarraria tudo isso na eternidade.
24:46	Uma ponte cantada que dissesse de forma cristalina:
24:49	"E de todos os detalhes do seu amor, de todas as bênçãos que eu perdi a conta,
24:55	[música] a maior de todas. Foi o sangue que ele derramou por mim lá no calvário.
25:02	Se você insere a cruz ali no meio, no ápice da música, ela inteira muda de
25:07	eixo. >> Nossa, e como muda essa pequena
25:10	intervenção poética, esse simples cabo de aço adicionado à estrutura, ele salva
25:15	a ponte inteira de cair no furacão. fica inabalável,
25:18	>> porque a partir daquele momento do culto, a mente do adorador é forçada a
25:23	sair da prosperidade terrena e voltar os olhos pro cerne do evangelho. A igreja
25:29	passaria a cantar com a plena consciência de que mesmo se as finanças
25:33	quebrarem amanhã, se a saúde se deteriorar terrivelmente, a maior e mais
25:39	definitiva de todas as bênçãos já foi entregue, [música]
25:43	já tá garantida. >> E isso ninguém pode tirar. Ninguém, nem
25:47	circunstância alguma pode roubar a cruz de nós.
25:50	>> É amarrar o subjetivo no objetivo absoluto. Sensacional. Bom, para resumir
25:55	o nosso mergulho profundo de hoje e deixar as coisas muito claras para todo
26:00	mundo que tá acompanhando, sentir gratidão pelas misericórdias diárias do
26:04	Senhor é não apenas saudável, como é um mandamento bíblico para todo crente. A
26:08	gratidão é maravilhosa. >> Sim, conte as bênçãos diárias. No
26:12	entanto, o limite que a gente precisa afirmar nos nossos corações é nunca
26:17	jamais esquecer [música] que o nosso maior motivo de louvor, o verdadeiro
26:22	ápice da nossa adoração, não é aquilo que Deus em sua providência tão
26:26	misteriosa, coloca provisoriamente nas nossas mãos nesta vida.
26:30	>> Perfeito. >> O nosso louvor absoluto pertence à
26:33	aquilo que ele fez por nós de uma vez por todas lá na cruz. É lá e somente lá
26:39	que reside a nossa verdadeira identidade e salvação.
26:42	>> E para amarrarmos essa reflexão de forma bem prática na vida de quem nos
26:47	acompanha hoje, eu gostaria de propor um pequeno exercício mental que serve quase
26:52	como um teste de diagnóstico da nossa própria espiritualidade.
26:56	>> Opa, gosto de testes difíceis. Qual é o exercício? Na próxima vez em que você,
27:01	ouvinte, estiver orando em casa ou mesmo cantando essa canção na igreja, listando
27:07	e contando as suas inúmeras bênçãos, pareça
27:12	a si mesma a seguinte pergunta bem sincera.
27:15	>> [roncando] >> Se o Senhor a partir de hoje fechasse os
27:18	céus para favores materiais, se ele nunca mais me concedesse nenhum conforto
27:23	físico, nenhuma resposta positiva às minhas petições de saúde ou de sucesso
27:29	financeiro, >> se a nossa saúde física desmuronasse, as
27:33	nossas finanças desaparecessem e o conforto evaporasse diante das cinzas, a
27:38	cruz de Cristo seria, de forma solitária e exclusiva um motivo suficiente para
27:44	continuar os cantando com toda a força dos nossos pulmões que temos [música]
27:48	bênçãos que não tem fim. Essa é a pergunta que separa a espiritualidade de
27:53	consumo da verdadeira adoração cristã. Que possamos encontrar a nossa gratidão
27:58	mais profunda naquilo que nada nem ninguém pode nos roubar.
28:02	>> Excepcional. Um choque de realidade mais do que necessário para todos nós.
28:07	>> Com certeza. [música] Essa é uma provocação que expõe na hora
28:11	onde de fato tá o nosso verdadeiro tesouro. Se a cruz é o suficiente, a
28:17	nossa ponte suporta qualquer furacão. E é com esse pensamento pesado, porém
28:23	imensamente libertador, que nós encerramos a nossa reflexão de hoje. E
28:27	olha, se esse conteúdo ajudou a edificar a fé de quem está nos acompanhando, não
28:33	esquece de curtir, compartilhar com os amigos e com a família. E, claro,
28:37	acompanhar o canal para não perder as próximas análises. Agradecemos
28:41	imensamente a companhia de cada um de vocês que esteve conosco, buscando um
28:46	olhar mais aprofundado e menos superficial sobre a nossa fé.
28:50	>> Muito obrigado pela escuta. >> Nos vemos no próximo episódio do Além da
28:54	Emoção, nosso programa semanal. de análise bíblica e discernimento cristão.
29:00	Até a próxima.

Corte 1
18s	fenômeno, né? Imagina uma música com um alcance tão assustador que ela sim
2:12	dela revela. >> É, e para fazer isso com justiça, nós

corte 2
3:05	>> Ao confessar com pouca fé, sim, eu temi, a pessoa admite que não tem poder nenhum
5:05	nosso devido lugar. Nós somos receptores da graça, não conquistadores dela.

corte 3
5:14	na letra com aquela frase famosa: "Foi muito além do meu pensar". O que
7:04	do que a gente jamais sonharia em ter. >> Nossa, isso faz muito sentido. E

corte 4
8:23	Eu queria propor um experimento mental aqui.
9:31	cristã na letra. >> Mas esa aí, só para fazer o papel de

corte 5
9:31	cristã na letra. >> Mas esa aí, só para fazer o papel de
11:33	validar desejos materiais. >> O problema aqui não é que a música seja

corte 6
11:44	>> Fica. Eu gosto de pensar nessa canção como uma ponte pênsil. Imagina uma ponte
13:05	a letra por si só, não faz esse trabalho. Isso nos leva à parte prática

corte 7
13:15	Eu vejo essa letra muito vaga como uma espécie de cheque branco emocional.
15:28	receber. >> É uma naturalização muito perigosa e eu

corte 8
15:31	acho que a gente precisa ser muito justo aqui. A música em si não prega a
16:17	que diz: "Olha, se você tá sofrendo é porque tá em pecado ou falta fé". O que

corte 9
16:22	nos leva a um teste de estress que eu considero essencial para qualquer música
18:10	abandonou. Ele deixou de ser bom."

corte 10
17:54	para baixo. Porque se a pessoa é ensinada domingo após domingo, que
20:13	é. >> Analisar os hinos clássicos dos séculos

corte 11
23:19	>> Avaliando com base naquilo que as escrituras exigem do louvor
